Tipus,Categoria,Data,Valor
Aigua,Consum,2024-02-05,5200
Aigua,Consum,2024-02-15,5300
Aigua,Consum,2024-02-25,6865

Aigua,Consum,2024-03-05,5500
Aigua,Consum,2024-03-15,5762
Aigua,Consum,2024-03-25,5532

Aigua,Consum,2024-04-05,5800
Aigua,Consum,2024-04-15,5900
Aigua,Consum,2024-04-25,6000

Aigua,Consum,2024-05-05,6100
Aigua,Consum,2024-05-15,6200
Aigua,Consum,2024-05-25,6300

Aigua,Consum,2024-06-05,7100
Aigua,Consum,2024-06-15,5941
Aigua,Consum,2024-06-25,6231

Aigua,Consum,2024-07-05,6832
Aigua,Consum,2024-07-15,6872
Aigua,Consum,2024-07-25,7598
Aigua,Consum,2024-07-25,5342

Aigua,Consum,2024-08-05,7312
Aigua,Consum,2024-08-15,6234
Aigua,Consum,2024-08-25,4322

Aigua,Consum,2024-09-05,5232
Aigua,Consum,2024-09-15,6100
Aigua,Consum,2024-09-25,6000

Aigua,Consum,2024-10-05,5800
Aigua,Consum,2024-10-15,5700
Aigua,Consum,2024-10-25,5600

Aigua,Consum,2024-11-05,5400
Aigua,Consum,2024-11-15,5300
Aigua,Consum,2024-11-25,5400

Aigua,Consum,2024-12-05,5100
Aigua,Consum,2024-12-15,5000
Aigua,Consum,2024-12-25,6000

Energia,Consum,2025-01-05,300
Energia,Consum,2025-01-15,215
Energia,Consum,2025-01-25,220

Energia,Consum,2025-02-05,225
Energia,Consum,2025-02-15,230
Energia,Consum,2025-02-25,235

Energia,Consum,2025-03-05,240
Energia,Consum,2025-03-15,245
Energia,Consum,2025-03-25,220

Energia,Consum,2025-04-05,255
Energia,Consum,2025-04-15,260
Energia,Consum,2025-04-25,132

Energia,Consum,2025-05-05,150
Energia,Consum,2025-05-15,212
Energia,Consum,2025-05-25,192

Energia,Consum,2025-06-05,130
Energia,Consum,2025-06-15,210
Energia,Consum,2025-06-25,190

Energia,Consum,2025-07-05,150
Energia,Consum,2025-07-15,155
Energia,Consum,2025-07-25,160

Energia,Consum,2025-08-05,165
Energia,Consum,2025-08-15,170
Energia,Consum,2025-08-25,175

Energia,Consum,2025-09-05,200
Energia,Consum,2025-09-15,210
Energia,Consum,2025-09-25,220

Energia,Consum,2025-10-05,230
Energia,Consum,2025-10-15,240
Energia,Consum,2025-10-25,134

Energia,Consum,2025-11-05,152
Energia,Consum,2025-11-15,246
Energia,Consum,2025-11-25,262

Energia,Consum,2025-12-05,251
Energia,Consum,2025-12-15,234
Energia,Consum,2025-12-25,200

Consumible,Papel Universal,2025-01-01,198.56
Consumible,Marcador,2025-01-02,34.36
Consumible,Internet,2025-01-03,50
Consumible,Treballs,2025-01-04,454.72
Consumible,WC,2025-01-05,620.05
Consumible,Extraordinaris,2025-01-06,2548.02